"Hylak_id","SlopeMean","SignMean","PMean","SlopeMax","SignMax","PMax","SlopeMin","SignMin","PMin"
29,-33562024.0249578,-57,0.249917413137612,-200494681.066404,-57,0.249917413137612,-32543240.2063603,-57,0.249917413137612
30,321886.078421315,1,1,3023195.89563672,1,1,221489.890817006,1,1
31,279547247.164206,198,5.45368799031998e-05,915115556.66628,198,5.45368799031998e-05,5936543.95546951,198,5.45368799031998e-05
32,4265248.08106203,14,0.774482204782148,20352765.7306696,14,0.774482204782148,702667.836312623,14,0.774482204782148
33,-122471750.823769,-88,0.0763627185131375,-485506587.453032,-88,0.0763627185131375,-15380844.6734535,-88,0.0763627185131375
34,-23806977.2185128,-146,0.00835489327903161,-81050340.5563809,-146,0.00835489327903161,-10253651.484314,-146,0.00835489327903161
35,36608238.1306322,156,0.000367322477614396,152426647.201367,156,0.000367322477614396,3607232.42590401,156,0.000367322477614396
36,1639827.09104208,10,0.847664608640044,1639827.09104208,10,0.847664608640044,1639827.09104208,10,0.847664608640044
37,77599625.6016443,61,0.215727584833706,281780052.691325,61,0.215727584833706,6924728.4845966,61,0.215727584833706
38,142519207.808285,82,0.0837110065495903,398102632.529871,82,0.0837110065495903,75382337.9437172,82,0.0837110065495903
39,14798675.5884886,32,0.468415579273515,66563388.6165976,32,0.468415579273515,14798675.5884886,32,0.468415579273515
40,21369345.6148875,20,0.696327429941971,86372395.8431094,20,0.696327429941971,5333682.45340475,20,0.696327429941971
42,56075379.9766043,177,0.000832252934320321,154147295.736479,177,0.000832252934320321,7792399.67665914,177,0.000832252934320321
43,2389874114.68771,272,3.67441934656654e-08,5953194145.50117,272,3.67441934656654e-08,99432387.2744169,272,3.67441934656654e-08
44,-17381759.8342448,-62,0.201358318386786,-35610688.362859,-62,0.201358318386786,-723944.742034943,-62,0.201358318386786
45,56883824.0962898,26,0.566279574045329,236164779.035565,26,0.566279574045329,2690662.93309758,26,0.566279574045329
46,98703221.0554751,62,0.190438773955368,392625546.5084,62,0.190438773955368,4488050.11458883,62,0.190438773955368
47,801809747.063687,245,2.02469647425652e-06,2453984423.05375,245,2.02469647425652e-06,152574180.615295,245,2.02469647425652e-06
48,69539635.3939434,321,5.25971266540637e-10,224621236.26656,321,5.25971266540637e-10,25457333.063163,321,5.25971266540637e-10
49,734329114.511039,148,0.00214015705229897,2027757740.95443,148,0.00214015705229897,92348647.6786105,148,0.00214015705229897
50,-6034603.45896765,-55,0.280174240321834,-40231517.2558384,-55,0.280174240321834,-84780.8465006192,-55,0.280174240321834
51,49879728.8779067,221,4.31809130538863e-05,173449435.650923,221,4.31809130538863e-05,9211530.59169298,221,4.31809130538863e-05
52,327918948.39766,264,3.4428601125569e-07,1262379594.54813,264,3.4428601125569e-07,38120059.3954164,264,3.4428601125569e-07
53,119159737.633015,251,6.53342971990156e-06,411872902.235578,251,6.53342971990156e-06,21822055.4025637,251,6.53342971990156e-06
54,35776284.8189475,127,0.00725944079948082,191659269.958758,127,0.00725944079948082,1285900.77197042,127,0.00725944079948082
55,115313992.541215,71,0.197390103884875,391023077.543591,71,0.197390103884875,21226215.750173,71,0.197390103884875
56,2879310.46398917,9,0.884528750930438,11852134.968217,9,0.884528750930438,49324.3392390339,9,0.884528750930438
57,13696492.9836111,83,0.154884565857452,61246741.3340067,83,0.154884565857452,1492977.89713871,83,0.154884565857452
58,15419240.1588551,63,0.230362338762794,91873949.0883268,63,0.230362338762794,1151634.65005745,63,0.230362338762794
59,10230901.1762737,90,0.0601205079195848,29820077.3150385,90,0.0601205079195848,2290617.56164257,90,0.0601205079195848
60,145974449.405744,260,7.87913291278031e-07,479508931.012275,260,7.87913291278031e-07,20190356.1321587,260,7.87913291278031e-07
61,-1205507.9351372,-24,0.664427975853418,-4572120.41654801,-24,0.664427975853418,-79346.5813453205,-24,0.664427975853418
62,806952731.058536,521,2.22044604925031e-16,1808974555.24986,521,2.22044604925031e-16,256854682.02828,521,2.22044604925031e-16
63,6940820.10094172,70,0.201224742763471,42295881.2078864,70,0.201224742763471,134833.011685325,70,0.201224742763471
64,14409193.5147665,136,0.0163826877084121,80086217.9166217,136,0.0163826877084121,5901320.5717029,136,0.0163826877084121
65,818844706.617768,536,0,1328724011.94688,536,0,541360526.221822,536,0
66,-974975.52513575,-65,0.265165157552673,-7030209.83854662,-65,0.265165157552673,-637.8387151933,-65,0.265165157552673
67,-60269158.8823924,-278,5.17359059806211e-05,-367382313.658103,-278,5.17359059806211e-05,-5286322.15306504,-278,5.17359059806211e-05
68,-3741873.10813416,-28,0.708925446735263,-17968876.1595664,-28,0.708925446735263,-250527.634551589,-28,0.708925446735263
69,-26571088.3285425,-193,0.0231912551833804,-159813485.02813,-193,0.0231912551833804,-1417884.90320355,-193,0.0231912551833804
70,35505012.6357304,248,0.0021126502606621,149024798.568415,248,0.0021126502606621,9798938.07540372,248,0.0021126502606621
71,31334926.6166879,98,0.159945143660085,81882421.1958096,98,0.159945143660085,4863823.27684291,98,0.159945143660085
72,264939780.090005,323,4.75446868763996e-07,1303968668.31882,323,4.75446868763996e-07,31995958.7394851,323,4.75446868763996e-07
73,308780331.680519,229,0.00211818393197483,525534589.450339,229,0.00211818393197483,164371057.91796,229,0.00211818393197483
74,83935062.0034407,306,0.000228733660343261,209855011.160527,306,0.000228733660343261,34555296.8286055,306,0.000228733660343261
75,-138412652.815559,-361,1.79811786460427e-06,-351577605.969322,-361,1.79811786460427e-06,-42548952.3301728,-361,1.79811786460427e-06
76,184290185.10552,281,6.21559195668198e-07,503873830.042139,281,6.21559195668198e-07,20623212.27783,281,6.21559195668198e-07
77,-838271157.360801,-686,0,-2177804778.3136,-686,0,-481246918.452921,-686,0
78,-282501395.248252,-770,0,-890017291.438215,-770,0,-55715551.8021903,-770,0
80,-5474859.57049608,-29,0.724563625027667,-12820343.2545777,-29,0.724563625027667,-1635833.95853431,-29,0.724563625027667
81,52489122.619278,598,2.22044604925031e-16,150897611.270789,598,2.22044604925031e-16,4166118.164084,598,2.22044604925031e-16
82,-49840433.3065614,-428,1.62083502175392e-09,-212089626.382011,-428,1.62083502175392e-09,-9607814.00817804,-428,1.62083502175392e-09
83,1278548736.15262,980,0,3663293712.09343,980,0,742645039.232941,980,0
85,-516979391.284448,-583,4.44089209850063e-16,-1128127425.61002,-583,4.44089209850063e-16,-65351588.3544208,-583,4.44089209850063e-16
86,-27554142.5629997,-71,0.308818551633707,-191503377.539993,-71,0.308818551633707,-3951792.20086002,-71,0.308818551633707
87,2341762.22742534,7,0.91575262334026,6474893.00864798,7,0.91575262334026,301174.770691067,7,0.91575262334026
88,-54826736.4481929,-143,0.0121547876894317,-214627594.464773,-143,0.0121547876894317,-2060379.498468,-143,0.0121547876894317
89,13388110.9228956,45,0.451157608812635,41109264.6007455,45,0.451157608812635,1984089.56439961,45,0.451157608812635
90,25882428.2927873,103,0.0907440784041731,56237830.6223786,103,0.0907440784041731,3533055.714733,103,0.0907440784041731
91,1470542417.2499,85,0.00535140195325323,1470542417.2499,85,0.00535140195325323,1470542417.2499,85,0.00535140195325323
93,16632923.9543784,95,0.00415583233320582,16632923.9543784,95,0.00415583233320582,12552855.5759617,95,0.00415583233320582
94,552630.721229656,6,0.874117138429922,7067537.75773132,6,0.874117138429922,1613.02327621915,6,0.874117138429922
95,62531824.785463,215,9.31301313400468e-07,166534657.732083,215,9.31301313400468e-07,1387916.43201754,215,9.31301313400468e-07
96,-122960340.825523,-71,0.0899007614959326,-447830779.326874,-71,0.0899007614959326,-20633253.7487961,-71,0.0899007614959326
97,25692536.3547303,103,0.0294221026062342,213491691.019312,103,0.0294221026062342,2702984.72163869,103,0.0294221026062342
98,195799827.187272,132,0.010586885569505,529833377.12973,132,0.010586885569505,32411811.2867323,132,0.010586885569505
99,137371996.918124,250,2.22712703590311e-06,516222958.287364,250,2.22712703590311e-06,10590987.2593089,250,2.22712703590311e-06
100,204764715.446002,217,6.9954194839017e-06,762296447.848283,217,6.9954194839017e-06,30500128.4109098,217,6.9954194839017e-06
101,6237197.37784288,150,0.00193726286311402,66441213.1884064,150,0.00193726286311402,54366.5195906811,150,0.00193726286311402
102,7947741.91268777,238,9.46409879731824e-06,75481662.9888411,238,9.46409879731824e-06,991356.6226054,238,9.46409879731824e-06
103,29615589.4970437,49,0.340730146452095,78816233.9390874,49,0.340730146452095,1725152.98028963,49,0.340730146452095
104,29425444.489215,87,0.058504257485275,91087034.9344546,87,0.058504257485275,1463877.10564356,87,0.058504257485275
105,180183944.347419,159,0.00187329615902576,663555207.364082,159,0.00187329615902576,11181366.3250309,159,0.00187329615902576
106,48110356.7362225,207,2.56777444369582e-05,197733520.732385,207,2.56777444369582e-05,9276658.87012915,207,2.56777444369582e-05
107,78440493.0193847,180,0.00043159813650151,361194104.729372,180,0.00043159813650151,16112239.9188578,180,0.00043159813650151
108,160249510.232988,165,0.000521381953339839,753010906.543762,165,0.000521381953339839,12310222.7533568,165,0.000521381953339839
109,7294689.65031449,93,0.0297732719117902,19939782.1033778,93,0.0297732719117902,593952.522079395,93,0.0297732719117902
110,-391435849.791879,-125,0.0196921517190949,-1190405338.83469,-125,0.0196921517190949,-84195618.1902643,-125,0.0196921517190949
111,-7879954.4128516,-161,0.00263125937364284,-32550435.303634,-161,0.00263125937364284,-690787.61835376,-161,0.00263125937364284
112,50764346.9483144,33,0.532924767621366,107802915.992171,33,0.532924767621366,23549361.9843757,33,0.532924767621366
113,-1959340.66717975,-10,0.848153531342066,-43663860.7991248,-10,0.848153531342066,-637.098246673047,-10,0.848153531342066
114,19244766.1034499,119,0.0164018660710794,57239731.8499751,119,0.0164018660710794,400280.342906125,119,0.0164018660710794
115,95970425.3651125,35,0.507960502967198,229363607.738595,35,0.507960502967198,19854473.4243192,35,0.507960502967198
116,240031952.689964,255,1.80282000039611e-06,693068019.818557,255,1.80282000039611e-06,36001169.31588,255,1.80282000039611e-06
117,87540004.2886328,144,0.005751905624783,471818920.531676,144,0.005751905624783,8605039.60313302,144,0.005751905624783
118,18801363.8518832,262,2.22583652398356e-07,80026604.8899706,262,2.22583652398356e-07,4472625.71058541,262,2.22583652398356e-07
119,26844072.5319501,102,0.0322711877498352,179708345.439561,102,0.0322711877498352,2365895.57756358,102,0.0322711877498352
120,173585440.349836,177,0.00188851579208005,438848554.463566,177,0.00188851579208005,80076759.9819183,177,0.00188851579208005
121,-26103735.7057593,-408,9.10382880192628e-15,-198840742.011993,-408,9.10382880192628e-15,-4177341.01060437,-408,9.10382880192628e-15
122,740647777.488432,248,5.91929065163477e-06,1818559186.82064,248,5.91929065163477e-06,139287229.378529,248,5.91929065163477e-06
123,132938159.329575,146,0.020875006723176,320968058.736785,146,0.020875006723176,46647643.337524,146,0.020875006723176
124,-299651471.100607,-523,0,-494803326.847785,-523,0,-38803396.1576779,-523,0
125,-121062336.145882,-313,2.22960114815152e-08,-648264111.985241,-313,2.22960114815152e-08,-7195556.24403914,-313,2.22960114815152e-08
126,28190928.8492924,104,0.0542737400601971,88418324.7618162,104,0.0542737400601971,2323247.46199676,104,0.0542737400601971
127,12235905.673948,168,0.00780696491437216,44248602.3636936,168,0.00780696491437216,1634132.39052913,168,0.00780696491437216
128,-94271956.5546226,-327,1.39903483464821e-07,-896982344.155113,-327,1.39903483464821e-07,-18550450.8378589,-327,1.39903483464821e-07
129,27849311.9859333,146,0.00797259213236612,138756023.059138,146,0.00797259213236612,3699517.31162371,146,0.00797259213236612
130,72426270.2889667,221,0.000510517060881899,188572807.116352,221,0.000510517060881899,17280998.1277534,221,0.000510517060881899
131,248959587.610181,510,0,486266570.720909,510,0,24202193.8158936,510,0
132,-2872544.25991158,-20,0.762356048632864,-13218464.6150242,-20,0.762356048632864,-241956.740140779,-20,0.762356048632864
134,354151882.938365,543,0,861593539.143553,543,0,34241152.8320006,543,0
135,-40989799.8690681,-124,0.0555873499767752,-159464186.887209,-124,0.0555873499767752,-5380450.09619281,-124,0.0555873499767752
136,62588295.2255257,200,0.00105410182682331,437066998.798698,200,0.00105410182682331,4777112.29239228,200,0.00105410182682331
137,672773925.035614,779,0,868595136.461762,779,0,390271675.619622,779,0
138,-103385903.677582,-295,1.61441634527471e-06,-374709816.205101,-295,1.61441634527471e-06,-19413477.5376923,-295,1.61441634527471e-06
139,268896494.138991,682,0,358937262.077928,682,0,92944848.2384531,682,0
141,-21978616.0642462,-173,0.0014122981358371,-123619557.602332,-173,0.0014122981358371,-5241283.63980668,-173,0.0014122981358371
142,-455208116.244276,-471,9.30611143701299e-12,-1176954533.74888,-471,9.30611143701299e-12,-64758199.0487921,-471,9.30611143701299e-12
143,851169285.921272,803,0,2255275633.74565,803,0,239423587.543536,803,0
144,-521249476.74637,-369,8.96584824383595e-07,-640582388.18178,-369,8.96584824383595e-07,-383853209.813058,-369,8.96584824383595e-07
145,-20073673.317372,-282,9.51936738335935e-05,-83021539.5057496,-282,9.51936738335935e-05,-1350494.50550526,-282,9.51936738335935e-05
146,-88758216.2119943,-530,0,-166250918.727225,-530,0,-32097224.135533,-530,0
147,835728083.378188,1145,0,1075655687.72065,1145,0,450064288.336539,1145,0
148,6294823.2455876,53,0.38985190258261,22400865.134344,53,0.38985190258261,592857.785561961,53,0.38985190258261
149,5294675.53644246,30,0.660388296088997,17810145.71418,30,0.660388296088997,481248.632893994,30,0.660388296088997
151,-3998873.48280811,-5,0.956481278191447,-9832439.66977501,-5,0.956481278191447,-860394.341089368,-5,0.956481278191447
152,1341556745.93785,607,1.7430501486615e-13,2155061577.72072,607,1.7430501486615e-13,578589961.234441,607,1.7430501486615e-13
153,-40197062.9627413,-225,0.00451785129531257,-131040985.520985,-225,0.00451785129531257,-5182387.120449,-225,0.00451785129531257
154,216912122.897707,609,1.06581410364015e-14,476949149.350663,609,1.06581410364015e-14,44352928.3466998,609,1.06581410364015e-14
155,92954426.2950217,294,1.39554528377772e-07,222818408.257347,294,1.39554528377772e-07,12088445.3917123,294,1.39554528377772e-07
156,688847091.030602,168,0.00821930843275664,1038395861.57525,168,0.00821930843275664,339013099.394772,168,0.00821930843275664
157,304433861.253029,1174,0,406972933.147144,1174,0,165692267.777824,1174,0
158,1426628654.15494,907,0,2102364854.05826,907,0,769171422.472036,907,0
159,144905258.688925,265,0.000615427052305995,348794254.418025,265,0.000615427052305995,10434131.2070373,265,0.000615427052305995
160,-5521679.3033071,-58,0.430974468415218,-24682654.4034345,-58,0.430974468415218,-675420.764790188,-58,0.430974468415218
161,-206739290.303888,-247,0.000287383112417938,-906147076.344353,-247,0.000287383112417938,-19212323.0953452,-247,0.000287383112417938
162,123160214.131044,292,4.95067702832586e-07,319401740.959297,292,4.95067702832586e-07,14487570.3721635,292,4.95067702832586e-07
163,75632222.2189513,369,5.25517525051811e-08,251920130.047677,369,5.25517525051811e-08,10764793.5707192,369,5.25517525051811e-08
164,125657792.774208,159,0.000278341198720167,350342046.773033,159,0.000278341198720167,5159977.04280734,159,0.000278341198720167
166,-338015022.963839,-612,0,-1623425166.94517,-612,0,-48007073.8288421,-612,0
167,205677479.388341,577,1.55431223447522e-14,643707431.606672,577,1.55431223447522e-14,38139755.5836554,577,1.55431223447522e-14
168,-101908170.508451,-787,0,-835018456.040928,-787,0,-13872025.563436,-787,0
169,38703048.3045933,434,3.93529653308633e-12,123444698.189963,434,3.93529653308633e-12,4974587.77220657,434,3.93529653308633e-12
171,71348216.8630924,91,0.242630500410962,153183747.976177,91,0.242630500410962,19816053.4794246,91,0.242630500410962
172,-339822923.01085,-157,0.0356167342805642,-643655919.610973,-157,0.0356167342805642,-143929327.296275,-157,0.0356167342805642
174,1386327.76222676,119,0.0731002848336562,4663002.7342642,119,0.0731002848336562,469431.96949022,119,0.0731002848336562
183,-303.728404672972,0,1,-1912.45165608327,0,1,-213.688009926661,0,1
184,-2670006.25027087,-75,0.0253785265880675,-12242077.7336785,-75,0.0253785265880675,-1437304.61486864,-75,0.0253785265880675
187,-17849565.1163114,-99,0.0102980896167177,-42892812.7256191,-99,0.0102980896167177,-9427884.93826965,-99,0.0102980896167177
189,-959839.299381875,-5,0.911494225914385,-2254168.05157875,-5,0.911494225914385,-436290.590628125,-5,0.911494225914385
190,-2661968.30532325,-96,0.0149536883795902,-2661968.30532325,-96,0.0149536883795902,-2661968.30532325,-96,0.0149536883795902
193,2779837.98187864,37,0.31861392846864,7593161.91905364,37,0.31861392846864,659652.564341379,37,0.31861392846864
194,-1589861.58815552,-28,0.348857571688224,-2703247.75524156,-28,0.348857571688224,-866956.803729188,-28,0.348857571688224
196,2365809.59651788,26,0.264188383841089,2365809.59651788,26,0.264188383841089,2365809.59651788,26,0.264188383841089
199,6190872.26349567,45,0.167114098059724,16764285.3612983,45,0.167114098059724,1033345.52771433,45,0.167114098059724
203,2292172.54116923,42,0.273635384605021,15427972.0525813,42,0.273635384605021,566496.039940202,42,0.273635384605021
204,-70115270.7550206,-74,0.0365166876908016,-70882956.2012433,-74,0.0365166876908016,-69347585.3087977,-74,0.0365166876908016
205,-935701.41452141,-96,0.00416711518802693,-9539731.34962695,-96,0.00416711518802693,-455848.113346049,-96,0.00416711518802693
206,2453580.87947775,14,0.713246406050961,19390345.6271284,14,0.713246406050961,791935.996802827,14,0.713246406050961
207,21119777.468748,29,0.477669173813965,41859066.8883792,29,0.477669173813965,16662435.4589848,29,0.477669173813965
208,-4486788.04302767,-76,0.0328057952286283,-16212193.4155687,-76,0.0328057952286283,-486242.600311606,-76,0.0328057952286283
209,177057.793901068,4,0.930910830056046,797224.859582867,4,0.930910830056046,105838.940867078,4,0.930910830056046
210,-435199.308276687,-60,0.104129920221249,-2072505.8857895,-60,0.104129920221249,-133414.327839981,-60,0.104129920221249
211,-143663.774192621,-12,0.745442396705648,-152139.022872585,-12,0.745442396705648,-106191.166406171,-12,0.745442396705648
212,2981924.38581608,27,0.487596980428252,6992792.4546884,27,0.487596980428252,1764942.27606076,27,0.487596980428252
213,3505169.08623919,17,0.671674952379897,3505169.08623919,17,0.671674952379897,356645.685407891,17,0.671674952379897
216,-1936516.27842684,-90,0.0142261285182621,-5098882.87283253,-90,0.0142261285182621,-1219362.27987623,-90,0.0142261285182621
218,-29425.6370683572,-38,0.314882807019671,-29425.6370683572,-38,0.314882807019671,-29425.6370683572,-38,0.314882807019671
219,-221940.614652633,-59,0.102810698720268,-2154972.28889731,-59,0.102810698720268,-77747.4209126635,-59,0.102810698720268
220,-1231308.35024716,-47,0.222574240259204,-1984846.4355578,-47,0.222574240259204,-152560.708482988,-47,0.222574240259204
221,-549980.754123,-33,0.438175190130208,-611089.726803375,-33,0.438175190130208,-515606.956990387,-33,0.438175190130208
222,-43418.1514805017,-10,0.824285726291415,-109144.797490366,-10,0.824285726291415,-18350.3130785517,-10,0.824285726291415
224,209944.799606078,10,0.777100846689627,235050.476423122,10,0.777100846689627,169930.277059049,10,0.777100846689627
227,-110030.76963634,-11,0.77818825650279,-441538.07863638,-11,0.77818825650279,-88072.0013888199,-11,0.77818825650279
228,1086568.23898689,15,0.717711790661619,1086568.23898689,15,0.717711790661619,429540.467229987,15,0.717711790661619
229,-12205730.220138,-21,0.569176952041811,-13542955.329116,-21,0.569176952041811,-10868505.11116,-21,0.569176952041811
230,-13644170.8005466,-94,0.00836987976791392,-13644170.8005466,-94,0.00836987976791392,-13644170.8005466,-94,0.00836987976791392
231,-521489.387091842,-19,0.645279763916828,-974780.0718405,-19,0.645279763916828,-102949.504821059,-19,0.645279763916828
234,-3833898.40109488,-26,0.49105976536264,-4632123.17801471,-26,0.49105976536264,-3035673.62417491,-26,0.49105976536264
235,3345381.05561824,130,0.00311300933116043,3899901.3576216,130,0.00311300933116043,60236.7235053211,130,0.00311300933116043
236,-516302.449283012,-10,0.801937720709619,-1803892.71390972,-10,0.801937720709619,-237298.527464533,-10,0.801937720709619
237,-404760.46995086,-23,0.569880841471437,-1677830.0288913,-23,0.569880841471437,-66134.283675168,-23,0.569880841471437
244,3998798.13357717,21,0.635435832249524,5851497.49781164,21,0.635435832249524,531027.476757668,21,0.635435832249524
245,4003244.97185806,40,0.338845222572901,35598782.253961,40,0.338845222572901,673092.647918629,40,0.338845222572901
250,-144973.801421772,-17,0.62888439089693,-317518.659979014,-17,0.62888439089693,-73420.1030508141,-17,0.62888439089693
251,-130882.546542282,-7,0.867985096327478,-371074.661250727,-7,0.867985096327478,-69491.8903517909,-7,0.867985096327478
253,1555490.36122709,31,0.388511123646801,2775512.97891396,31,0.388511123646801,536935.529048174,31,0.388511123646801
254,-1095921.73446651,-142,0.00257520055270799,-2413365.58752629,-142,0.00257520055270799,-394076.840701074,-142,0.00257520055270799
257,-32280.1535954275,-5,0.924879083237911,-202739.566188325,-5,0.924879083237911,-8170.76890719001,-5,0.924879083237911
258,13601199.9907376,89,0.0552991201828343,44527953.0340353,89,0.0552991201828343,5695246.0920434,89,0.0552991201828343
259,415501.687039522,22,0.550075781898697,1539878.45675978,22,0.550075781898697,57736.5215898253,22,0.550075781898697
260,4820573.86984375,42,0.293604650672106,8731684.11824555,42,0.293604650672106,1600226.60604667,42,0.293604650672106
262,3741975.30180584,142,0.000991066600962043,27859306.9222491,142,0.000991066600962043,454318.260409156,142,0.000991066600962043
265,4013770.63529325,49,0.16708939587297,11721444.8338776,49,0.16708939587297,2414753.81586155,49,0.16708939587297
266,217318.114246964,50,0.233931189851475,264647.602518274,50,0.233931189851475,90451.3232271167,50,0.233931189851475
268,-27026.5934172701,-1,1,-48841.980383845,-1,1,-21862.970462005,-1,1
270,1562730.81475813,16,0.746658989558008,1562730.81475813,16,0.746658989558008,39898.2365746718,16,0.746658989558008
271,-1060388.5948789,-36,0.298997162910001,-2430357.64696467,-36,0.298997162910001,-36701.5977056626,-36,0.298997162910001
277,137307.276628673,2,0.97830040083068,200140.516359667,2,0.97830040083068,67671.8309756319,2,0.97830040083068
278,-44031309.326328,-9,0.819587564244333,-59986980.4263715,-9,0.819587564244333,-26146074.7758662,-9,0.819587564244333
279,-5586516.27760667,-5,0.916022016069555,-7288612.40116835,-5,0.916022016069555,-3624250.06623932,-5,0.916022016069555
281,908187.65896336,30,0.487041453800622,1345728.33751586,30,0.487041453800622,526254.01029034,30,0.487041453800622
285,4243987.47001339,23,0.580300821037846,12606695.6406538,23,0.580300821037846,527883.306542225,23,0.580300821037846
286,1741781.011899,59,0.23562987117436,5871762.51544143,59,0.23562987117436,269774.575460524,59,0.23562987117436
287,13653911.8503896,69,0.0750348733077062,35090034.1934625,69,0.0750348733077062,3466740.46392713,69,0.0750348733077062
289,5208157.25497709,77,0.075208956919264,19053365.5883067,77,0.075208956919264,140518.240687632,77,0.075208956919264
290,-2882662.05472084,-5,0.904620686234179,-2882662.05472084,-5,0.904620686234179,-2255054.08657499,-5,0.904620686234179
292,625780.553923783,71,0.0719847736875894,1850601.7511353,71,0.0719847736875894,125638.475654085,71,0.0719847736875894
293,554395.516357567,29,0.51794434822053,1048582.67143937,29,0.51794434822053,281476.883820712,29,0.51794434822053
298,556029.230277144,28,0.529582110433491,774166.272287826,28,0.529582110433491,291333.293924265,28,0.529582110433491
299,2674384.76608367,19,0.64346541444315,2793408.07272866,19,0.64346541444315,2202988.25767833,19,0.64346541444315
301,618703.282196355,3,0.960373180368605,1014414.942139,3,0.960373180368605,451091.300669764,3,0.960373180368605
302,5446100.00812601,24,0.523428860129789,5446100.00812601,24,0.523428860129789,5446100.00812601,24,0.523428860129789
303,-258394.184960722,-2,0.98061993596517,-258394.184960722,-2,0.98061993596517,-258394.184960722,-2,0.98061993596517
304,266635.01237092,27,0.465706955785709,634309.250504153,27,0.465706955785709,60413.450021383,27,0.465706955785709
305,31028.2389589849,12,0.783228152803194,45463.83676343,12,0.783228152803194,18019.7746016794,12,0.783228152803194
307,-1468991.90439591,-41,0.270972924283605,-2906331.57257936,-41,0.270972924283605,-547193.055226264,-41,0.270972924283605
309,1695848.78677269,26,0.543656863532004,3172245.92591148,26,0.543656863532004,666221.793220811,26,0.543656863532004
310,5205563.99387008,97,0.0314958198463442,14323384.1570462,97,0.0314958198463442,1817383.89704784,97,0.0314958198463442
311,645695.715951972,46,0.260390328123344,1409922.28389045,46,0.260390328123344,101301.742402465,46,0.260390328123344
313,487925.992332664,45,0.170585705910503,1235649.3398528,45,0.170585705910503,187152.745352867,45,0.170585705910503
314,1471689.93835762,31,0.41667899901853,2853824.33732959,31,0.41667899901853,531347.746440693,31,0.41667899901853
315,42144.0486771334,55,0.127533598774964,85096.9524199083,55,0.127533598774964,19982.381075236,55,0.127533598774964
316,47518233.4625611,77,0.0589943847798688,77330052.9352706,77,0.0589943847798688,19499332.6193443,77,0.0589943847798688
